Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вахній,Прохір,Володимирович,Чоловік,29.03.1949,Антрополог,селище Хорол,"проспект Ігоря Бедзая, буд. 026 кв. 66, Нове Давидково, 21272",076 541-07-77,eivashchenko@example.org
Ковпак,Любов,Андріївна,Жінка,07.04.1939,Пекар,селище Волочиськ,"площа Кипарисний 2-й, буд. 874 кв. 523, Буринь, 81022",+380 98 055 40 24,smykvarvara@example.com
Гук,Валентин,Васильович,Чоловік,06.09.2001,Детектив,хутір Жмеринка,"сквер Владислава Домбровського, буд. 4, Волочиськ, 74654",048 894 21 91,redkofrants@example.org
Єсипенко,Златослава,Дмитрівна,Жінка,09.07.1973,Флорист,місто Кодима,"площа Обільний 1-й, буд. 717 кв. 7, Городище, 79755",+380 (74) 332-75-91,volodymyr47@example.com
Сомко,Тарас,Федорович,Чоловік,17.12.1952,Журналіст,село Тисмениця,"набережна Санаторний, буд. 0 кв. 2, Дубляни, 16207",+380 76 036-82-14,balabanhlib@example.com
Гайдай,Захар,Юрійович,Чоловік,01.03.1961,Кінорежисер,село Привілля,"узвіз Компасний, буд. 97 кв. 01, Рені, 18258",+380 (32) 027-77-57,stepan33@example.org
Засенко,Степан,Анатолійович,Чоловік,05.10.1976,Гірничий інженер,місто Дергачі,"парк Маловського, буд. 3 кв. 98, Ржищів, 80017",+380 (89) 826-12-24,valentyn05@example.org
Алексюк,Марія,Володимирівна,Жінка,02.12.1974,Мінералог,хутір Сторожинець,"набережна Друга, буд. 4 кв. 023, Турка, 28664",079 964-79-53,antonromanchuk@example.org
Товстуха,Сніжана,Федорівна,Жінка,14.12.2000,Диригент,село Вінниця,"сквер Уральська, буд. 12 кв. 3, Роздільна, 93011",158-55-47,orlykemiliia@example.net
Адамчук,Йосип,Олександрович,Чоловік,03.06.2008,Кур'єр,хутір Білгород-Дністровський,"площа Сірожупанників, буд. 1 кв. 849, Южноукраїнськ, 34903",533-44-02,antonlytvyn@example.net
Ващенко,Богуслава,Миколаївна,Жінка,23.08.1949,Візажист,село Монастириська,"проспект Хаджибейська дорога, буд. 80, Суми, 07776",+380 13 727-93-72,iermolenkodemian@example.net
Єрмоленко,Гліб,Анатолійович,Чоловік,06.08.1971,Палеонтолог,селище Надвірна,"парк Ізюмська, буд. 21 кв. 94, Білгород-Дністровський, 97833",091 634-92-24,illia83@example.org
Годунок,Владислав,Андрійович,Чоловік,01.07.1971,Мінералог,селище Угнів,"набережна Бернардацці, буд. 52, Новий Буг, 33220",+380 (57) 527-15-32,iermolenkofrants@example.com
Швачко,Венедикт,Геннадійович,Чоловік,29.03.1994,Археолог,село Іллінці,"парк Кордонна, буд. 81, Судак, 95773",023 223-66-16,lostapchuk@example.net
Іщенко,Аркадій,Петрович,Чоловік,15.07.1971,Сценарист,село Армянськ,"провулок Обільний 1-й, буд. 199, Сокологірськ, 47429",053 883-39-74,drobiazkopriska@example.net
Швайка,Богданна,Євгенівна,Жінка,14.12.1960,Ріелтор,місто Новомиргород,"набережна Деревообробний 4-й, буд. 99 кв. 282, Ізмаїл, 40615",053 688 04 77,bhavriushenko@example.com
Гайдай,Лілія,Євгенівна,Жінка,05.02.1959,Математик,хутір Ізюм,"площа Соляний 6-й, буд. 631, Самар, 74522",+380 (67) 996-40-69,vkarmaliuk@example.com
Фастенко,Онисим,Іванович,Чоловік,23.01.1997,Фольклорист,місто Жмеринка,"площа Шевченка, буд. 699 кв. 726, Бахмач, 07968",409 92 20,bonufriienko@example.com
Сиротенко,Демʼян,Андрійович,Чоловік,04.11.1939,Піаніст,місто Оріхів,"вулиця Бернардацці, буд. 26, Городище, 74687",+380 95 871 53 31,dubashordii@example.com
Саєнко,Георгій,Станіславович,Чоловік,20.08.2007,Водій,хутір Новомиргород,"площа Обільна, буд. 2, Вишневе, 63698",541 60 70,avhustynpryimak@example.org
Швачко,Єфрем,Дмитрович,Чоловік,14.03.1981,Етнограф,місто Голубівка,"шосе Софії Перовської, буд. 78 кв. 373, Жовті Води, 77230",+380 73 387-12-90,hvakarchuk@example.net
Аронець,Лесь,Вікторович,Чоловік,18.08.1961,Каскадер,місто Гірське,"шосе Одарія, буд. 4 кв. 82, Чистякове, 34725",+380 19 839 29 99,omelianchupryna@example.com
Яремків,Борислав,Геннадійович,Чоловік,07.03.1973,Менеджер,місто Новояворівськ,"набережна Валерія Лобановського, буд. 65 кв. 97, Гадяч, 53963",047 066-29-19,nesterenkosemen@example.com
Бабʼюк,Валерій,Геннадійович,Чоловік,02.04.1956,Актор,селище Болград,"вулиця Мелітопольська, буд. 46 кв. 26, Чуднів, 10860",+380 68 363 98 91,markoieshchenko@example.org
Чаленко,Єлисей,Станіславович,Чоловік,18.01.1957,Драматург,село Сіверськодонецьк,"сквер Профспілкова, буд. 65 кв. 800, Бібрка, 70524",+380 47 324 84 68,stychyna@example.net
Атаманчук,Тарас,Васильович,Чоловік,16.07.1973,Адвокат,селище Комарно,"площа Перепечка, буд. 133, Рожище, 35686",+380 (70) 326-45-14,anastasiiasliusar@example.net
Бабійчук,Богодар,Анатолійович,Чоловік,26.11.1942,Конструктор,село Миколаївка,"узвіз Морехідна, буд. 121 кв. 345, Жовті Води, 45927",+380 66 235-77-99,fursveniiamyn@example.org
Барабаш,Давид,Сергійович,Чоловік,02.12.1976,Ботанік,селище Новоукраїнка,"площа Ялинкова, буд. 270 кв. 53, Шостка, 47499",224-12-67,yshelest@example.com
Жадан,Веніямин,Богданович,Чоловік,22.04.1951,Візажист,село Кодима,"шосе Палія Семена, буд. 37, Болград, 95618",017 101 13 19,ivan23@example.net
Макогон,Ліза,Богданівна,Жінка,23.03.1947,Перекладач,місто Луцьк,"проспект Каштанова, буд. 870, Скалат, 88320",093 184 06 25,dmytrochupryna@example.com
Єрошенко,Роксолана,Володимирівна,Жінка,15.03.1986,Антрополог,село Сіверськодонецьк,"узвіз Одеса-Головна, буд. 1, Хотин, 39909",+380 65 504-97-89,viukhymenko@example.net
Павличенко,Амвросій,Васильович,Чоловік,20.05.1946,Електромонтер,місто Кропивницький,"вулиця Чорноморка, буд. 2, Оріхів, 41479",+380 73 443-90-58,heorhii79@example.com
Павличенко,Любов,Романівна,Жінка,10.04.1998,Біолог,місто Семенівка,"сквер Садова 1-ша, буд. 80 кв. 5, Шостка, 87015",023 198 82 05,pdavymuka@example.net
Пелех,Роксолана,Дмитрівна,Жінка,02.07.1991,Кінолог,місто Золочів,"проспект 6-та Лінія Марії Демченко, буд. 2 кв. 60, Калинівка, 46408",+380 82 222 03 96,demydenkoliubov@example.org
Панчук,Миколай,Вікторович,Чоловік,13.02.1994,Продюсер,хутір Жашків,"площа Станційна 2-га, буд. 39, Селидове, 86695",121 05 79,mbabii@example.com
Ващенко-Захарченко,Опанас,Федорович,Чоловік,18.10.1980,Електромонтер,село Глухів,"парк Альпіністів, буд. 06, Белз, 48433",+380 96 862-94-47,czubko@example.org
Дахно,Аліна,Миколаївна,Жінка,11.07.2001,Паблік рилейшнз,хутір Білогірськ,"сквер Тетяни Тесс, буд. 28 кв. 6, Збараж, 23987",+380 34 797 80 16,hzhurba@example.net
Корж,Михайлина,Вікторівна,Жінка,30.01.1952,Кухар,місто Макіївка,"набережна Панченка, буд. 496, Оріхів, 98254",+380 36 043 69 50,leon78@example.com
Дараган,Максим,Ярославович,Чоловік,31.07.1979,Драматург,село Носівка,"проспект Східчастий 4-й, буд. 22 кв. 022, Березне, 21041",071 005 12 87,ivertyporokh@example.net
Іваненко,Юхим,Анатолійович,Чоловік,24.06.1993,Локсмайстер,хутір Лозова,"провулок Український 1-й, буд. 04, Рогатин, 01427",061-50-46,hvalenko@example.org
Килимник,Ростислав,Євгенович,Чоловік,12.01.1968,Художник,селище Яремче,"провулок Ланжерон, буд. 94, Вишневе, 94931",+380 92 283-34-66,veniiamyn94@example.com
Чміль,Соломон,Геннадійович,Чоловік,11.04.1984,Футболіст,місто Івано-Франківськ,"набережна Солонцюватий 1-й, буд. 85 кв. 0, Світлодарськ, 87252",057 383-19-74,vladyslavkharchenko@example.net
Даниленко,Тетяна,Богданівна,Жінка,22.11.2000,Музичний редактор,село Бровари,"набережна Андрія Гулого-Гуленка, буд. 7, Тернівка, 11905",032 761 32 54,hohol-ianovskyitaras@example.net
Фурс,Алевтин,Миколайович,Чоловік,21.09.1970,Музикант,селище Харків,"сквер Естафетна, буд. 1 кв. 8, Луганськ, 46893",045 043 99 94,parasiukleon@example.net
Приходько,Павло,Тарасович,Чоловік,06.01.1955,Педагог,хутір Косів,"узвіз Лінія 44-та, буд. 2, Валки, 71621",145-04-92,andriishynlevko@example.com
Бабʼюк,Ігнат,Тарасович,Чоловік,18.07.1944,Державний службовець,місто Вовчанськ,"проспект Корнюшина, буд. 32 кв. 0, Благовіщенське, 97179",+380 24 094 00 50,devdiuktereza@example.org
Заруба,Олена,Станіславівна,Жінка,26.10.1981,Ювелір,селище Глухів,"узвіз Сумський, буд. 778 кв. 9, Острог, 15507",001 317-01-70,avrelii87@example.net
Назаренко,Богуслав,Тарасович,Чоловік,25.06.1974,Психолог,хутір Родинське,"сквер Пісочний, буд. 72, Тетіїв, 13995",+380 (30) 900-71-86,smiroshnychenko@example.org
Овчаренко,Олекса,Ярославович,Чоловік,14.04.1997,Льотчик,хутір Антрацит,"сквер Кавказька, буд. 99 кв. 09, Рудки, 43407",+380 00 662 61 87,myroslav56@example.com
Башполченко,Георгій,Ярославович,Чоловік,26.04.1971,Головний меркшейдер,хутір Славутич,"набережна Покровський, буд. 3, Нікополь, 85598",+380 (60) 008-80-03,nosenkoamvrosii@example.org
Єрченко,Устим,Ярославович,Чоловік,23.08.1983,М'ясник,хутір Радивилів,"набережна Хвиляста, буд. 6 кв. 346, Галич, 10088",576 69 88,kostiantyn30@example.net
Єрошенко,Леопольд,Євгенович,Чоловік,20.01.2003,Електромонтажник,місто Очаків,"проспект Садовий, буд. 88 кв. 176, Мала Виска, 50772",400-19-39,ztelizhenko@example.org
Уманець,Віктор,Юрійович,Чоловік,04.12.1986,Круп'є,селище Камінь-Каширський,"набережна Луцька, буд. 8 кв. 05, Золоте, 62812",+380 73 977-28-09,deisunhalyna@example.com
Єрченко,Йосип,Анатолійович,Чоловік,28.11.1952,Пекар,хутір Інкерман,"узвіз Овідіопольська дуга, буд. 57 кв. 647, Шептицький, 87167",+380 69 824-38-44,habelkoiustyna@example.org
Андрієнко,Володимира,Тарасівна,Жінка,08.10.1949,Мірошник,село Знам'янка,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 153 кв. 332, Севастополь, 15116",231-38-86,inikoliuk@example.net
Ґерус,Аврелій,Олександрович,Чоловік,08.02.1982,Конструктор,хутір Новоград-Волинський,"набережна Вузький, буд. 39, Кобеляки, 59844",+380 (04) 657-15-46,makariukhymenko@example.net
Ящук,Леонід,Станіславович,Чоловік,14.03.1976,Живописець,хутір Сновськ,"сквер Аркадійська, буд. 447 кв. 8, Красноперекопськ, 39370",074 586-45-42,vasyl73@example.org
Єрмоленко,Назар,Іванович,Чоловік,19.02.1966,Геолог,село Зугрес,"вулиця Євгена Крамаренка, буд. 82, Носівка, 71876",096 171 90 32,viacheslav87@example.net
Байда,Микита,Володимирович,Чоловік,23.05.1986,Гірник,село Баштанка,"провулок Учнівська, буд. 88, Трускавець, 94441",+380 98 133-32-36,omelian52@example.net
Артеменко,Пріска,Петрівна,Жінка,03.10.2003,Ботанік,селище Феодосія,"площа 2-й Академічний тупик, буд. 6 кв. 371, Костянтинівка, 05907",+380 36 510-87-55,deinekaanastasiia@example.net
Бабариченко,Амалія,Анатоліївна,Жінка,12.10.1994,Публіцист,місто Благовіщенське,"провулок Скліфосовського, буд. 1 кв. 6, Могилів-Подільський, 01605",379-38-69,zabilaanita@example.net
Чабан,Степан,Богданович,Чоловік,04.09.1987,Епідеміолог,село Петрово-Красносілля,"парк Василя Кандинського 4-й, буд. 245 кв. 249, Маріуполь, 17214",076 422-43-88,vasyl25@example.com
Шелест,Герман,Вікторович,Чоловік,29.04.1949,Епідеміолог,селище Новий Калинів,"шосе Водопровідний 2-й, буд. 187, Кременець, 64849",084 004-76-74,cbabarychenko@example.com
Давимука,Роксолана,Петрівна,Жінка,27.10.1962,Програміст,хутір Антрацит,"сквер Євгена Крамаренка, буд. 19 кв. 786, Семенівка, 45449",422 17 82,khrystychiustyna@example.org
Данчук,Ада,Іванівна,Жінка,01.05.1970,Математик,місто Багачеве,"сквер Проектний 5-й, буд. 02, Шептицький, 49295",+380 35 029-56-44,sartiushenko@example.org
Вишиваний,Ярослав,Сергійович,Чоловік,27.10.1988,Електрик,місто Привілля,"шосе Парковий, буд. 219 кв. 21, Луцьк, 55367",+380 66 026-28-49,zorian43@example.net
Дрозденко,Анжела,Богданівна,Жінка,30.06.2006,Конструктор,місто Березань,"сквер Херсонський, буд. 3, Гайворон, 18167",099 632 86 86,iaroslava49@example.com
Мазепа,Леопольд,Володимирович,Чоловік,22.05.2003,Патологоанатом,хутір Очаків,"вулиця Глаубермана, буд. 637 кв. 71, Тростянець, 66790",+380 02 311 33 73,odotsenko@example.com
Аверченко,Азар,Юрійович,Чоловік,08.06.1964,Палеонтолог,хутір Молочанськ,"вулиця Самодіяльна, буд. 18 кв. 18, Берислав, 05122",+380 (15) 508-02-83,danylenkoorysia@example.net
